a	a
ai	a Y
an	a NG
anh	4 N
ao	a W
au	4 W
b	b E
ba	b a
ban	b a NG
bang	b a NG
banh	b 4 N
bao	b a W
bay	b 4 Y
be	b e
bi	b i
bia	b i 3
binh	b U N
biên	b i NG
biếc	b i K
biến	b i NG
biếng	b i NG
biết	b i
biết	b i K
biếu	b i W
biển	b i NG
biểu	b i W
biện	b i NG
biệt	b i
biệt	b i K
bom	b o M
bon	b o NG
bong	b o NGM
bu	b u
bung	b u NGM
buôn	b u NG
buông	b u NG
buýt	b w U T
buốt	b u K
buồn	b u NG
buồng	b u NG
buổi	b u Y
buộc	b u
buộc	b u K
bà	b a
bài	b a Y
bàn	b a NG
bàng	b a NG
bành	b 4 N
bào	b a W
bàu	b 4 W
bày	b 4 Y
bá	b a
bác	b a
bác	b a K
bách	b a
bách	b 4 T
bái	b a Y
bám	b a M
bán	b a NG
báng	b a NG
bánh	b 4 N
báo	b a W
bát	b a K
báu	b 4 W
bâng	b A NG
bây	b A Y
bã	b a
bãi	b a Y
bão	b a W
bè	b e
bèn	b e NG
bèo	b e W
bé	b e
bén	b e NG
béng	b e NG
béo	b e W
bét	b e K
bê	b E
bên	b 2 N
bênh	b 2 N
bêu	b E W
bì	b i
bìa	b i 3
bình	b U N
bí	b i
bích	b U T
bính	b U N
bò	b o
bó	b o
bóc	b o KP
bói	b o Y
bón	b o NG
bóng	b o NGM
bóp	b o P
bót	b o
bót	b o K
bôi	b O Y
bông	b o NGM
bù	b u
bùa	b u 3
bùi	b u Y
bùn	b u NM
bùng	b u NGM
bú	b u
búa	b u 3
bún	b u NGM
búp	b U P
bút	b u KP
băn	b 4 NG
băng	b 4 NG
bĩu	b i W
bơ	b 2
bơi	b 2 Y
bơm	b 2 M
bưng	b U NG
bưu	b U W
bước	b U
bước	b U K
bướng	b U NG
bưởi	b U Y
bạ	b a
bạc	b a
bạc	b a K
bạch	b a
bạch	b 4 T
bại	b a Y
bạn	b a NG
bạo	b a W
bạt	b a
bạt	b a K
bả	b a
bản	b a NG
bảng	b a NG
bảnh	b 4 N
bảo	b a W
bảy	b 4 Y
bấc	b A K
bấm	b A M
bất	b A K
bấy	b A Y
bầm	b A M
bần	b A NG
bầu	b A W
bầy	b A Y
bẩm	b A M
bẩn	b A NG
bẩy	b A Y
bẫy	b A Y
bậc	b A K
bận	b A NG
bật	b A K
bậy	b A Y
bắc	b a
bắc	b 4 K
bắn	b 4 NG
bắp	b 4 P
bắt	b a
bắt	b 4 K
bằng	b 4 NG
bặm	b 4 M
bặt	b a
bặt	b 4 K
bẹ	b e
bẽn	b e NG
bế	b E
bến	b 2 N
bếp	b E P
bề	b E
bền	b 2 N
bể	b E
bệ	b E
bệch	b 2 T
bệnh	b 2 N
bệt	b 2 T
bệu	b E W
bỉ	b i
bị	b i
bịch	b U T
bịn	b U N
bịp	b i P
bịt	b U T
bọ	b o
bọc	b o KP
bọn	b o NG
bọp	b o P
bọt	b o
bọt	b o K
bỏ	b o
bỏng	b o NGM
bố	b O
bốc	b o KP
bối	b O Y
bốn	b O NM
bồ	b O
bồi	b O Y
bồn	b O NM
bồng	b o NGM
bổ	b O
bổn	b O NM
bổng	b o NGM
bỗng	b o NGM
bộ	b O
bộc	b o KP
bội	b O Y
bộn	b O NM
bột	b O K
bới	b 2 Y
bớt	b 2
bớt	b 2 K
bờ	b 2
bời	b 2 Y
bờm	b 2 M
bở	b 2
bởi	b 2 Y
bỡ	b 2
bợ	b 2
bục	b u KP
bụi	b u Y
bụng	b u NGM
bụt	b u KP
bủa	b u 3
bức	b U
bức	b U K
bứt	b U K
bừa	b U 3
bừng	b U NG
bữa	b U 3
bự	b U
bực	b U K
c	s E
ca	k a
cai	k a Y
cam	k a M
can	k a NG
canh	k 4 N
cao	k a W
cay	k 4 Y
cha	ch a
chai	ch a Y
chan	ch a NG
chang	ch a NG
chanh	ch 4 N
chao	ch a W
chay	ch 4 Y
che	ch e
chen	ch e NG
cheo	ch e W
chi	ch i
chia	ch i 3
chim	ch i M
chinh	ch U N
chiêm	ch i M
chiên	ch i NG
chiêu	ch i W
chiếc	ch i
chiếc	ch i K
chiếm	ch i M
chiến	ch i NG
chiết	ch i K
chiếu	ch i W
chiều	ch i W
cho	ch o
chong	ch o NGM
choàng	ch w a NG
choáng	ch w a NG
chu	ch u
chua	ch u 3
chui	ch u Y
chum	ch U M
chung	ch u NGM
chuyên	ch w i NG
chuyến	ch w i NG
chuyền	ch w i NG
chuyển	ch w i NG
chuyện	ch w i NG
chuông	ch u NG
chuẩn	ch w A NG
chuốc	ch u
chuốc	ch u K
chuối	ch u Y
chuồng	ch u NG
chuỗi	ch u Y
chuộc	ch u K
chuộng	ch u NG
chuột	ch u
chuột	ch u K
chà	ch a
chài	ch a Y
chàng	ch a NG
chào	ch a W
chác	ch a K
chái	ch a Y
chán	ch a NG
chánh	ch 4 N
cháo	ch a W
chát	ch a K
cháu	ch 4 W
cháy	ch 4 Y
châm	ch A M
chân	ch A NG
châu	ch A W
chè	ch e
chèn	ch e NG
chèo	ch e W
ché	ch e
chém	ch e M
chén	ch e NG
chéo	ch e W
chép	ch e P
chê	ch E
chênh	ch 2 N
chì	ch i
chìa	ch i 3
chìm	ch i M
chí	ch i
chích	ch U
chích	ch U T
chín	ch U N
chính	ch U N
chít	ch U T
chó	ch o
chóe	ch w e
chói	ch o Y
chóng	ch o NGM
chót	ch o K
chôn	ch O NM
chông	ch o NGM
chù	ch u
chùa	ch u 3
chùi	ch u Y
chùm	ch U M
chú	ch u
chúa	ch u 3
chúc	ch u KP
chúi	ch u Y
chúng	ch u NGM
chút	ch u KP
chăm	ch 4 M
chăn	ch 4 NG
chăng	ch 4 NG
chơi	ch 2 Y
chư	ch U
chưa	ch U 3
chưng	ch U NG
chương	ch U NG
chước	ch U
chước	ch U K
chướng	ch U NG
chạm	ch a M
chạnh	ch 4 N
chạp	ch a
chạp	ch a P
chạy	ch 4 Y
chả	ch a
chải	ch a Y
chảnh	ch 4 N
chảo	ch a W
chảy	ch 4 Y
chấm	ch A M
chấn	ch A NG
chấp	ch A P
chất	ch A K
chầu	ch A W
chẩn	ch A NG
chậm	ch A M
chập	ch A P
chật	ch A K
chậu	ch A W
chắc	ch 4 K
chắn	ch 4 NG
chắp	ch 4 P
chắt	ch 4 K
chằm	ch 4 M
chằng	ch 4 NG
chẳng	ch 4 NG
chặn	ch 4 NG
chặng	ch 4 NG
chặt	ch a
chặt	ch 4 K
chẻ	ch e
chẽ	ch e
chế	ch E
chết	ch 2 T
chề	ch E
chệch	ch 2 T
chỉ	ch i
chỉnh	ch U N
chị	ch i
chịu	ch i W
chọc	ch o KP
chọi	ch o Y
chọn	ch o NG
chọt	ch o
chọt	ch o K
chốc	ch o KP
chối	ch O Y
chốn	ch O NM
chống	ch o NGM
chốt	ch o
chốt	ch O K
chồi	ch O Y
chồm	ch O M
chồng	ch o NGM
chổi	ch O Y
chỗ	ch O
chớ	ch 2
chớp	ch 2 P
chờ	ch 2
chờn	ch 2 NG
chở	ch 2
chợ	ch 2
chợt	ch 2
chợt	ch 2 K
chục	ch u KP
chụm	ch U M
chụp	ch U
chụp	ch U P
chủ	ch u
chủng	ch u NGM
chứ	ch U
chứa	ch U 3
chức	ch U
chức	ch U K
chứng	ch U NG
chừ	ch U
chừng	ch U NG
chửi	ch U Y
chữ	ch U
chữa	ch U 3
chững	ch U NG
chực	ch U K
co	k o
coi	k o Y
con	k o NG
cong	k o NGM
cu	k u
cua	k u 3
cung	k u NGM
cuốc	k u K
cuối	k u Y
cuốn	k u NG
cuống	k u NG
cuồng	k u NG
cuỗm	k u M
cuộc	k u
cuộc	k u K
cuội	k u Y
cuộn	k u NG
cà	k a
cài	k a Y
càng	k a NG
cành	k 4 N
cào	k a W
cày	k 4 Y
cá	k a
các	k a
các	k a K
cách	k a
cách	k 4 T
cái	k a Y
cám	k a M
cán	k a NG
cáng	k a NG
cánh	k 4 N
cáo	k a W
cáp	k a P
cát	k a
cát	k a K
cáu	k 4 W
cáy	k 4 Y
câm	k A M
cân	k A NG
câu	k A W
cây	k A Y
cãi	k a Y
cò	k o
còi	k o Y
còm	k o M
còn	k o NG
còng	k o NGM
có	k o
cóc	k o KP
cóp	k o P
cô	k O
côi	k O Y
côn	k O NM
công	k o NGM
cõi	k o Y
cù	k u
cùi	k u Y
cùng	k u NGM
cú	k u
cúc	k u KP
cúi	k u Y
cúm	k U M
cúng	k u NGM
cúp	k U P
căm	k 4 M
căn	k 4 NG
căng	k 4 NG
cũ	k u
cũng	k u NGM
cơ	k 2
cơm	k 2 M
cơn	k 2 NG
cư	k U
cưa	k U 3
cưng	k U NG
cương	k U NG
cước	k U
cước	k U K
cưới	k U Y
cướp	k U
cướp	k U P
cười	k U Y
cườm	k U M
cường	k U NG
cưỡi	k U Y
cưỡng	k U NG
cạch	k 4 T
cạm	k a M
cạn	k a NG
cạnh	k 4 N
cạo	k a W
cạp	k a P
cả	k a
cải	k a Y
cảm	k a M
cản	k a NG
cảng	k a NG
cảnh	k 4 N
cấm	k A M
cấp	k A P
cất	k A K
cấu	k A W
cấy	k A Y
cầm	k A M
cần	k A NG
cầu	k A W
cẩm	k A M
cẩn	k A NG
cẩu	k A W
cận	k A NG
cập	k A P
cật	k A K
cậu	k A W
cậy	k A Y
cắm	k 4 M
cắn	k 4 NG
cắp	k 4 P
cắt	k a
cắt	k 4 K
cằm	k 4 M
cẳng	k 4 NG
cặm	k 4 M
cặp	k a
cặp	k 4 P
cọ	k o
cọc	k o KP
cọp	k o P
cỏ	k o
cỏi	k o Y
cố	k O
cốc	k o KP
cối	k O Y
cốm	k O M
cống	k o NGM
cốt	k o
cốt	k O K
cồ	k O
cồn	k O NM
cồng	k o NGM
cổ	k O
cổng	k o NGM
cỗ	k O
cộ	k O
cội	k O Y
cộng	k o NGM
cột	k o
cột	k O K
cớ	k 2
cờ	k 2
cở	k 2
cởi	k 2 Y
cỡ	k 2
cợt	k 2
cợt	k 2 K
cụ	k u
cục	k u KP
cụi	k u Y
cụm	k U M
cụp	k U P
cụt	k u KP
củ	k u
của	k u 3
củi	k u Y
củng	k u NGM
cứ	k U
cứng	k U NG
cứu	k U W
cừu	k U W
cử	k U
cửa	k U 3
cửu	k U W
cự	k U
cựa	k U 3
cực	k U
cực	k U K
cựu	k U W
d	z E
da	y a
dai	y a Y
dang	y a NG
danh	y 4 N
dao	y a W
di	y i
dim	y i M
dinh	y U N
diều	y i W
diễm	y i M
diễn	y i NG
diệc	y i
diệc	y i K
diện	y i NG
diệp	y i P
diệt	y i
diệt	y i K
diệu	y i W
do	y o
doanh	y w 4 N
dong	y o NGM
doãn	y w a NG
doạ	y w a
du	y u
dung	y u NGM
duy	y w i
duyên	y w i NG
duyệt	y w i K
duỗi	y u Y
dà	y a
dài	y a Y
dàn	y a NG
dàng	y a NG
dành	y 4 N
dào	y a W
dày	y 4 Y
dám	y a M
dán	y a NG
dáng	y a NG
dâm	y A M
dân	y A NG
dâng	y A NG
dâu	y A W
dây	y A Y
dã	y a
dãi	y a Y
dãy	y 4 Y
dè	y e
dép	y e P
dê	y E
dì	y i
dính	y U N
dò	y o
dòng	y o NGM
dóc	y o KP
dông	y o NGM
dõi	y o Y
dõng	y o NGM
dù	y u
dùng	y u NGM
dăk	y 4 K
dăm	y 4 M
dăng	y 4 NG
dĩ	y i
dĩa	y i 3
dũng	y u NGM
dư	y U
dưa	y U 3
dưng	y U NG
dương	y U NG
dưới	y U Y
dường	y U NG
dưỡng	y U NG
dược	y U
dược	y U K
dạ	y a
dại	y a Y
dạn	y a NG
dạng	y a NG
dạo	y a W
dạt	y a K
dạy	y 4 Y
dải	y a Y
dấm	y A M
dấn	y A NG
dấu	y A W
dấy	y A Y
dầm	y A M
dần	y A NG
dầu	y A W
dẫm	y A M
dẫn	y A NG
dẫu	y A W
dập	y A P
dậy	y A Y
dắt	y 4 K
dằn	y 4 NG
dẳng	y 4 NG
dặt	y 4 K
dẹp	y e
dẹp	y e P
dẻ	y e
dẻo	y e W
dế	y E
dề	y E
dễ	y E
dệt	y 2
dệt	y 2 T
dị	y i
dịch	y U
dịch	y U T
dịp	y i P
dịu	y i W
dọa	y w a
dọc	y o KP
dọn	y o NG
dốc	y o KP
dối	y O Y
dốt	y O K
dồi	y O Y
dồn	y O NM
dỗ	y O
dỗi	y O Y
dội	y O Y
dột	y O K
dời	y 2 Y
dở	y 2
dỡ	y 2
dụ	y u
dục	y u KP
dụm	y U M
dụng	y u NGM
dứa	y U 3
dứt	y U
dứt	y U K
dừa	y U 3
dừng	y U NG
dửng	y U NG
dữ	y U
dự	y U
dựa	y U 3
dựng	y U NG
e	e
em	e M
eo	e W
g	y i 3
ga	ɡ a
gam	ɡ a M
gan	ɡ a NG
ganh	ɡ 4 N
gay	ɡ 4 Y
gen	ɡ e NG
ghe	ɡ e
ghen	ɡ e NG
ghi	ɡ i
ghim	ɡ i M
ghè	ɡ e
ghé	ɡ e
ghém	ɡ e M
ghép	ɡ e P
ghét	ɡ e K
ghê	ɡ E
ghìm	ɡ i M
ghẹ	ɡ e
ghẹo	ɡ e W
ghẻ	ɡ e
ghế	ɡ E
ghề	ɡ E
ghềnh	ɡ 2 N
gia	y a
giai	y a Y
giam	y a M
gian	y a NG
giang	y a NG
giao	y a W
gieo	y e W
giun	y u NGM
già	y a
giàn	y a NG
giành	y 4 N
giàu	y 4 W
giày	y 4 Y
giá	y a
giác	y a
giác	y a K
giám	y a M
gián	y a NG
giáng	y a NG
giáo	y a W
giáp	y a
giáp	y a P
giây	y A Y
giã	y a
giãn	y a NG
giãy	y 4 Y
gièm	y e M
giêng	y i NG
giò	y o
giòn	y o NG
gió	y o
gióng	y o NGM
giùm	y U M
giúp	y U
giúp	y U P
giăng	y 4 NG
giũ	y u
giũa	y u 3
giơ	y 2
giường	y U NG
giả	y a
giải	y a Y
giảm	y a M
giản	y a NG
giảng	y a NG
giảnh	y 4 N
giấc	y A K
giấu	y A W
giấy	y A Y
giầy	y A Y
giậm	y A M
giận	y A NG
giật	y A K
giặc	y 4 K
giặt	y 4 K
giếng	y i NG
giết	y i
giết	y i K
giềng	y i NG
giễu	y E W
giọng	y o NGM
giọt	y o
giọt	y o K
giỏ	y o
giỏi	y o Y
giống	y o NGM
giỗ	y O
giới	y 2 Y
giờ	y 2
giời	y 2 Y
giỡn	y 2 NG
giục	y u KP
giữ	y U
giữa	y U 3
giựt	y U K
gom	ɡ o M
gu	ɡ u
guốc	ɡ u K
gà	ɡ a
gài	ɡ a Y
gàng	ɡ a NG
gào	ɡ a W
gác	ɡ a
gác	ɡ a K
gái	ɡ a Y
gán	ɡ a NG
gánh	ɡ 4 N
gáp	ɡ a P
gáy	ɡ 4 Y
gân	ɡ A NG
gây	ɡ A Y
gã	ɡ a
gãi	ɡ a Y
gãy	ɡ 4 Y
gì	y i
gìn	y U N
gò	ɡ o
gòn	ɡ o NG
góc	ɡ o KP
gói	ɡ o Y
góp	ɡ o
góp	ɡ o P
gót	ɡ o K
gôn	ɡ O NM
gông	ɡ o NGM
gõ	ɡ o
gù	ɡ u
gút	ɡ u KP
găm	ɡ 4 M
gũi	ɡ u Y
gương	ɡ U NG
gượng	ɡ U NG
gạch	ɡ a
gạch	ɡ 4 T
gạo	ɡ a W
gạt	ɡ a K
gấp	ɡ A P
gấu	ɡ A W
gầm	ɡ A M
gần	ɡ A NG
gầy	ɡ A Y
gẫu	ɡ A W
gập	ɡ A P
gật	ɡ A K
gậy	ɡ A Y
gắm	ɡ 4 M
gắn	ɡ 4 NG
gắng	ɡ 4 NG
gắt	ɡ 4 K
gặm	ɡ 4 M
gặng	ɡ 4 NG
gặp	ɡ a
gặp	ɡ 4 P
gỉ	y i
gọi	ɡ o Y
gọn	ɡ o NG
gỏng	ɡ o NGM
gốc	ɡ o KP
gối	ɡ O Y
gốm	ɡ O M
gồ	ɡ O
gồm	ɡ O M
gồng	ɡ o NGM
gỗ	ɡ O
gội	ɡ O Y
gớm	ɡ 2 M
gởi	ɡ 2 Y
gỡ	ɡ 2
gợi	ɡ 2 Y
gợn	ɡ 2 NG
gục	ɡ u KP
gửi	ɡ U Y
h	h a
h	h a K
ha	h a
hai	h a Y
ham	h a M
han	h a NG
hang	h a NG
hanh	h 4 N
hao	h a W
hay	h 4 Y
hen	h e NG
heo	h e W
hi	h i
hiu	h i W
hiên	h i NG
hiếm	h i M
hiến	h i NG
hiếp	h i P
hiếu	h i W
hiền	h i NG
hiểm	h i M
hiển	h i NG
hiểu	h i W
hiện	h i NG
hiệp	h i
hiệp	h i P
hiệu	h i W
ho	h o
hoa	h w a
hoan	h w a NG
hoang	h w a NG
hoay	h w 4 Y
hoi	h o Y
hong	h o NGM
hot	h o K
hoà	h w a
hoài	h w a Y
hoàn	h w a NG
hoàng	h w a NG
hoành	h w 4 N
hoá	h w a
hoãn	h w a NG
hoạ	h w a
hoạch	h w a
hoạch	h w 4 T
hoại	h w a Y
hoạn	h w a NG
hoạt	h w a
hoạt	h w a K
hoảng	h w a NG
hoặc	h w a
hoặc	h w 4 K
hun	h u NGM
hung	h u NGM
huy	h w i
huynh	h w U N
huyên	h w i NG
huyết	h w i
huyết	h w i K
huyền	h w i NG
huyện	h w i NG
huyệt	h w i
huyệt	h w i K
huân	h w A NG
huýt	h w U
huýt	h w U T
huấn	h w A NG
huế	h w E
huệ	h w E
huống	h u NG
huỳnh	h w U N
huỷ	h w i
hy	h i
hà	h a
hài	h a Y
hàm	h a M
hàn	h a NG
hàng	h a NG
hành	h 4 N
hào	h a W
há	h a
hái	h a Y
hám	h a M
hán	h a NG
háo	h a W
hát	h a
hát	h a K
hâm	h A M
hân	h A NG
hãi	h a Y
hãn	h a NG
hãng	h a NG
hãnh	h 4 N
hãy	h 4 Y
hè	h e
hèn	h e NG
héo	h e W
hét	h e K
hên	h 2 N
hình	h U N
hích	h U T
hít	h U T
hò	h o
hòa	h w a
hòn	h o NG
hòng	h o NGM
hóa	h w a
hóc	h o KP
hói	h o Y
hóm	h o M
hóng	h o NGM
hót	h o K
hô	h O
hôi	h O Y
hôm	h O M
hôn	h O NM
hông	h o NGM
hùn	h u NM
hùng	h u NGM
hú	h u
húc	h u KP
húng	h u NGM
hút	h u KP
hăm	h 4 M
