a	a
ai	ae Y
am	ae M
an	ae NG
ang	ae NG
anh	ae n
ao	ae W
au	ae W
ba	b a
bai	b ae Y
ban	b ae NG
bang	b ae NG
banh	b ae n
bao	b ae W
bay	b ae Y
be	b e
beo	b e W
bi	b i
bia	b ia
binh	b U n
bit	b U t
biên	b i NG
biếc	b i K
biến	b i NG
biếng	b i NG
biết	b i K
biếu	b i W
biền	b i NG
biển	b i NG
biểu	b i W
biện	b i NG
biệt	b i K
bo	b o
boa	b w a
bom	b o M
bon	b o NG
bong	b o NGM
boong	b o NG
bu	b u
bung	b u NGM
buôn	b u NG
buông	b u NG
buýt	b w U t
buốt	b u K
buồi	b u Y
buồm	b u M
buồn	b u NG
buồng	b u NG
buổi	b u Y
buộc	b u K
buột	b u K
bà	b a
bài	b ae Y
bàn	b ae NG
bàng	b ae NG
bành	b ae n
bào	b ae W
bàu	b ae W
bày	b ae Y
bá	b a
bác	b ae K
bách	b ae t
bái	b ae Y
bám	b ae M
bán	b ae NG
báng	b ae NG
bánh	b ae n
báo	b ae W
bát	b ae K
báu	b ae W
bâng	b A NG
bâu	b A W
bây	b A Y
bã	b a
bãi	b ae Y
bão	b ae W
bè	b e
bèn	b e NG
bèo	b e W
bé	b e
bén	b e NG
béo	b e W
bét	b e K
bê	b E
bên	b oe n
bênh	b oe n
bêu	b E W
bì	b i
bìa	b ia
bình	b U n
bìu	b i W
bí	b i
bích	b U t
bím	b i M
bính	b U n
bíp	b i P
bít	b U t
bíu	b i W
bò	b o
bòn	b o NG
bó	b o
bóc	b o KP
bói	b o Y
bón	b o NG
bóp	b o P
bót	b o K
bô	b O
bôi	b O Y
bôm	b O M
bông	b o NGM
bõ	b o
bù	b u
bùa	b ua
bùi	b u Y
bùm	b U M
bùn	b u NGM
bùng	b u NGM
bú	b u
búa	b ua
búi	b u Y
bún	b u NGM
búng	b u NGM
búp	b U P
bút	b u KP
băm	b ae M
băn	b ae NG
băng	b ae NG
bĩ	b i
bĩu	b i W
bơ	b oe
bơi	b oe Y
bơm	b oe M
bư	b U
bưng	b U NG
bưu	b U W
bươi	b U Y
bươu	b U W
bước	b U K
bướm	b U M
bướng	b U NG
bướu	b U W
bưởi	b U Y
bạ	b a
bạc	b ae K
bạch	b ae t
bại	b ae Y
bạn	b ae NG
bạo	b ae W
bạt	b ae K
bả	b a
bản	b ae NG
bảng	b ae NG
bảnh	b ae n
bảo	b ae W
bảy	b ae Y
bấc	b A K
bấm	b A M
bất	b A K
bấu	b A W
bấy	b A Y
bầm	b A M
bần	b A NG
bầu	b A W
bầy	b A Y
bẩm	b A M
bẩn	b A NG
bẩy	b A Y
bẫy	b A Y
bậc	b A K
bận	b A NG
bật	b A K
bậu	b A W
bậy	b A Y
bắc	b ae K
bắn	b ae NG
bắp	b ae P
bắt	b ae K
bằm	b ae M
bằng	b ae NG
bẵm	b ae M
bẵng	b ae NG
bặt	b ae K
bẹ	b e
bẹn	b e NG
bẹo	b e W
bẹp	b e P
bẹt	b e K
bẻ	b e
bế	b E
bến	b oe n
bếp	b E P
bết	b oe t
bề	b E
bền	b oe n
bể	b E
bển	b oe n
bệ	b E
bệch	b oe t
bện	b oe n
bệnh	b oe n
bệt	b oe t
bệu	b E W
bỉ	b i
bỉm	b i M
bỉnh	b U n
bị	b i
bịa	b ia
bịch	b U t
bịn	b U n
bịnh	b U n
bịp	b i P
bịt	b U t
bọ	b o
bọc	b o KP
bọn	b o NG
bọng	b o NGM
bọp	b o P
bọt	b o K
bỏ	b o
bỏng	b o NGM
bố	b O
bốc	b o KP
bối	b O Y
bốn	b O NM
bống	b o NGM
bốp	b O P
bốt	b O TP
bồ	b O
bồi	b O Y
bồn	b O NM
bồng	b o NGM
bổ	b O
bổi	b O Y
bổn	b O NM
bổng	b o NGM
bỗng	b o NGM
bộ	b O
bộc	b o KP
bội	b O Y
bộn	b O NM
bộng	b o NGM
bộp	b O P
bột	b O TP
bớ	b oe
bới	b oe Y
bớp	b oe P
bớt	b oe K
bờ	b oe
bời	b oe Y
bờm	b oe M
bở	b oe
bởi	b oe Y
bỡ	b oe
bỡn	b oe NG
bợ	b oe
bợm	b oe M
bục	b u KP
bụi	b u Y
bụm	b U M
bụng	b u NGM
bụt	b u KP
bủa	b ua
bủn	b u NGM
bứa	b Ua
bức	b U K
bứng	b U NG
bứt	b U K
bừa	b Ua
bừng	b U NG
bửa	b Ua
bữa	b Ua
bự	b U
bựa	b Ua
bực	b U K
ca	k a
cai	k ae Y
cam	k ae M
can	k ae NG
canh	k ae n
cao	k ae W
cau	k ae W
cay	k ae Y
cha	ck a
chai	ck ae Y
chan	ck ae NG
chang	ck ae NG
chanh	ck ae n
chao	ck ae W
chau	ck ae W
chay	ck ae Y
che	ck e
chen	ck e NG
cheo	ck e W
